"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","2","Nino Farina","Italy","Alfa Romeo SpA","70","2:13:23.600","","","146.400","1:50.600","2","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"2","2","3","Luigi Fagioli","Italy","Alfa Romeo SpA","70","2:13:26.200","+ 2.600","+ 2.600","146.300","","","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"3","3","4","Reg Parnell","Great Britain","Alfa Romeo SpA","70","2:14:15.600","+ 52.000","+ 49.400","145.400","","","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"4","4","14","Yves Giraud-Cabantous","France","Automobiles Talbot-Darracq","68","2:13:25.000","2 Laps","2 Laps","142.200","1:53.400","41","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"5","5","15","Louis Rosier","France","Automobiles Talbot-Darracq","68","2:14:28.400","2 Laps","+ 1:03.400","141.100","1:55.400","10","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"6","6","12","Bob Gerard","Great Britain","Bob Gerard","67","2:13:26.400","3 Laps","1 Lap","140.100","","","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"7","7","11","Cuth Harrison","Great Britain","Cuth Harrison","67","2:13:26.800","3 Laps","+ 0.400","140.100","","","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"8","8","16","Philippe Etancelin","France","Automobiles Talbot-Darracq","65","2:14:30.600","5 Laps","2 Laps","134.800","1:57.400","31","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"9","9","6","David Hampshire","Great Britain","Scuderia Ambrosiana","64","2:14:03.600","6 Laps","1 Lap","133.200","","","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"10","10","10","Joe Fry/Brian Shawe-Taylor/","Great Britain","Joe Fry","64","2:15:00.400","6 Laps","+ 56.800","132.200","","","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"11","11","18","Johnny Claes","Belgium","Ecurie Belge","64","2:15:28.600","6 Laps","+ 28.200","131.800","2:08.800","29","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"12","DNF","1","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","62","","","","","","","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
"13","NC","23","Joe Kelly","Ireland","Joe Kelly","57","","","","","","","May 13, 1950","Silverstone Circuit","british-grand-prix",1950
